"","Distance","Rsquare","Number"
"1",100,0.257034753990223,641
"2",200,0.186942447227119,447
"3",300,0.189642187881832,171
"4",400,0.216113671836546,71
"5",500,0.197716168409328,40
"6",600,0.214686908700526,24
"7",700,0.24478109383364,15
"8",800,0.0690186702967845,18
"9",900,0.167663280340901,18
"10",1000,0.179456932216765,9
"11",1100,0.132253849166761,10
"12",1200,0.210688802897091,10
"13",1300,0.640953456626092,3
"14",1400,0.181226311390744,6
"15",1500,0.0182684344379651,2
"16",1600,0.255264581632733,8
"17",1700,0.0211891026067469,4
"18",1800,0.0528460289650535,3
"19",1900,0.0811885391259801,3
"20",2000,0.0404797181438621,1
"21",2100,0.112586110891754,5
"22",2200,0.0490645817253644,2
"23",2300,0.240668217438994,5
"24",2400,0.169865570228952,1
"25",2500,1.27065809029366e-05,1
"26",2600,0.442230701855339,4
"27",2700,0.168778894144568,2
"28",2800,0.234321503546296,1
"29",2900,0.127940695895695,3
"30",3000,0.464991846105916,2
"31",3100,0.0249712931423088,1
"32",3200,0.136059857701679,5
"33",3300,0.00171852815791192,1
"34",3400,0.253958226042777,3
"35",3500,NA,0
"36",3600,0.0058645228625832,1
"37",3700,0.680229071664425,1
"38",3800,NA,0
"39",3900,0,1
"40",4000,0.00367822612903474,1
"41",4100,0.302539472707091,1
"42",4200,0.0412856713231677,1
"43",4300,0,1
"44",4400,0.0337097128641883,2
"45",4500,0,1
"46",4600,0.0266595786597309,1
"47",4700,NA,0
"48",4800,NA,0
"49",4900,NA,0
"50",5000,6.54255362951565e-06,2
"51",5100,NA,0
"52",5200,NA,0
"53",5300,NA,0
"54",5400,NA,0
"55",5500,0.0505164781725769,1
"56",5600,NA,0
"57",5700,NA,0
"58",5800,0.00994598135566485,2
"59",5900,1.55455310630316e-05,1
"60",6000,NA,0
"61",6100,0.344060017821013,1
"62",6200,0.00249334459716606,1
"63",6300,0.0288047435173091,1
"64",6400,NA,0
"65",6500,0.0730052973538651,1
"66",6600,NA,0
"67",6700,NA,0
"68",6800,0.156032007377918,1
"69",6900,0.00016845716923939,2
"70",7000,NA,0
"71",7100,NA,0
"72",7200,NA,0
"73",7300,0.00667564401711051,1
"74",7400,NA,0
"75",7500,NA,0
"76",7600,NA,0
"77",7700,0.266337277868786,2
"78",7800,NA,0
"79",7900,NA,0
"80",8000,NA,0
"81",8100,NA,0
"82",8200,0.137547271828964,1
"83",8300,0.0249447603789977,1
"84",8400,NA,0
"85",8500,NA,0
"86",8600,NA,0
"87",8700,NA,0
"88",8800,NA,0
"89",8900,NA,0
"90",9000,NA,0
"91",9100,NA,0
"92",9200,NA,0
"93",9300,NA,0
"94",9400,NA,0
"95",9500,NA,0
"96",9600,NA,0
"97",9700,0.158286679555146,1
"98",9800,NA,0
