taxa,color
33-16,#FF0000
38-11,#FF0000
4226,#FF0000
4722,#FF0000
A188,#FF0000
A214N,#80FF00
A239,#FF0000
A272,#FF0000
A441-5,#FF0000
A554,#FF0000
A556,#FF0000
A6,#FF0000
A619,#FF0000
A632,#80FF00
A634,#80FF00
A635,#80FF00
A641,#80FF00
A654,#FF0000
A659,#FF0000
A661,#FF0000
A679,#00FFFF
A680,#00FFFF
A682,#FF0000
AB28A,#FF0000
B10,#FF0000
B103,#FF0000
B104,#00FFFF
B105,#FF0000
B109,#00FFFF
B115,#FF0000
B14A,#80FF00
B164,#FF0000
B2,#FF0000
B37,#8000FF
B46,#FF0000
B52,#FF0000
B57,#FF0000
B64,#80FF00
B68,#80FF00
B73,#00FFFF
B73HTRHM,#00FFFF
B75,#FF0000
B76,#8000FF
B77,#FF0000
B79,#FF0000
B84,#00FFFF
B97,#FF0000
C103,#FF0000
C123,#FF0000
C49A,#FF0000
CH701-30,#FF0000
CH9,#FF0000
CI187-2,#FF0000
CI21E,#FF0000
CI28A,#FF0000
CI31A,#FF0000
CI3A,#FF0000
CI64,#FF0000
CI66,#FF0000
CI7,#FF0000
CI90C,#FF0000
CI91B,#FF0000
CM105,#80FF00
CM174,#80FF00
CM37,#FF0000
CM7,#FF0000
CML10,#FF0000
CML103,#FF0000
CML108,#FF0000
CML11,#FF0000
CML14,#FF0000
CML154Q,#FF0000
CML157Q,#FF0000
CML158Q,#FF0000
CML218,#FF0000
CML220,#FF0000
CML228,#FF0000
CML238,#FF0000
CML247,#FF0000
CML254,#FF0000
CML258,#FF0000
CML261,#FF0000
CML264,#FF0000
CML277,#FF0000
CML281,#FF0000
CML287,#FF0000
CML311,#FF0000
CML314,#FF0000
CML321,#FF0000
CML322,#FF0000
CML323,#FF0000
CML328,#FF0000
CML331,#FF0000
CML332,#FF0000
CML333,#FF0000
CML341,#FF0000
CML38,#FF0000
CML45,#FF0000
CML5,#FF0000
CML52,#FF0000
CML61,#FF0000
CML69,#FF0000
CML77,#FF0000
CML91,#FF0000
CML92,#FF0000
CMV3,#FF0000
CO106,#FF0000
CO125,#FF0000
CO255,#FF0000
D940Y,#FF0000
DE1,#FF0000
DE2,#FF0000
DE3,#FF0000
DE811,#80FF00
E2558W,#FF0000
EP1,#FF0000
F2834T,#FF0000
F44,#FF0000
F6,#FF0000
F7,#FF0000
GA209,#FF0000
GT112,#FF0000
H105W,#80FF00
H49,#FF0000
H84,#8000FF
H91,#80FF00
H95,#FF0000
H99,#FF0000
HI27,#FF0000
HP301,#FF0000
HY,#FF0000
I137TN,#FF0000
I205,#FF0000
I29,#FF0000
IA2132,#FF0000
IA5125,#FF0000
IDS28,#FF0000
IDS69,#FF0000
IDS91,#FF0000
IL101,#FF0000
IL14H,#FF0000
IL677A,#FF0000
K148,#FF0000
K4,#FF0000
K55,#FF0000
K64,#FF0000
KI11,#FF0000
KI14,#FF0000
KI2021,#FF0000
KI21,#FF0000
KI3,#FF0000
KI43,#FF0000
KI44,#FF0000
KY21,#FF0000
KY226,#FF0000
KY228,#FF0000
L317,#FF0000
L578,#FF0000
M14,#FF0000
M162W,#FF0000
M37W,#FF0000
MEF156-55-2,#FF0000
MO17,#FF0000
MO18W,#FF0000
MO1W,#FF0000
MO24W,#FF0000
MO44,#FF0000
MO45,#FF0000
MO46,#FF0000
MO47,#FF0000
MOG,#FF0000
MP339,#FF0000
MS1334,#FF0000
MS153,#FF0000
MS71,#FF0000
MT42,#FF0000
N192,#00FFFF
N28HT,#FF0000
N6,#FF0000
N7A,#FF0000
NC222,#FF0000
NC230,#FF0000
NC232,#FF0000
NC236,#FF0000
NC238,#FF0000
NC250,#8000FF
NC258,#FF0000
NC260,#FF0000
NC262,#FF0000
NC264,#FF0000
NC290A,#FF0000
NC294,#00FFFF
NC296,#FF0000
NC296A,#FF0000
NC298,#FF0000
NC300,#FF0000
NC302,#FF0000
NC304,#FF0000
NC306,#00FFFF
NC310,#00FFFF
NC314,#00FFFF
NC318,#FF0000
NC320,#FF0000
NC324,#00FFFF
NC326,#00FFFF
NC328,#00FFFF
NC33,#FF0000
NC336,#FF0000
NC338,#FF0000
NC340,#FF0000
NC342,#FF0000
NC344,#FF0000
NC346,#FF0000
NC348,#FF0000
NC350,#FF0000
NC352,#FF0000
NC354,#FF0000
NC356,#FF0000
NC358,#FF0000
NC360,#FF0000
NC362,#FF0000
NC364,#FF0000
NC366,#FF0000
NC368,#00FFFF
ND246,#FF0000
OH40B,#FF0000
OH43,#FF0000
OH43E,#FF0000
OH603,#FF0000
OH7B,#FF0000
OS420,#FF0000
P39,#FF0000
PA762,#FF0000
PA875,#FF0000
PA880,#FF0000
PA91,#FF0000
R109B,#FF0000
R168,#FF0000
R177,#FF0000
R229,#00FFFF
R4,#FF0000
SA24,#FF0000
SC213R,#FF0000
SC357,#FF0000
SC55,#FF0000
SD40,#FF0000
SD44,#FF0000
SG1533,#FF0000
SG18,#FF0000
T232,#FF0000
T234,#FF0000
T8,#FF0000
TX303,#FF0000
TX601,#FF0000
TZI10,#FF0000
TZI11,#FF0000
TZI16,#FF0000
TZI18,#FF0000
TZI25,#FF0000
TZI8,#FF0000
TZI9,#FF0000
U267Y,#FF0000
VA102,#FF0000
VA14,#FF0000
VA17,#FF0000
VA22,#FF0000
VA26,#FF0000
VA35,#FF0000
VA59,#FF0000
VA85,#FF0000
VA99,#FF0000
VAW6,#FF0000
W117HT,#FF0000
W153R,#FF0000
W182B,#FF0000
W22,#FF0000
W22R-RSTD,#FF0000
W64A,#FF0000
WD,#FF0000
WF9,#FF0000
YU796NS,#FF0000
